LAT,LONG,VILLE,PAYS_CODE,N_PCT2018,NBREV2018
35.6895,139.6917,Tokyo,JP,69,21678
22.5415,114.0634,Shenzhen,CN,18,11704
37.7599,-122.4374,San Francisco Bay Area,US,10,5351
37.5683,126.9778,Seoul,KR,6,5167
34.6758,135.5538,Osaka,JP,10,3389
39.9075,116.3972,Beijing,CN,6,2707
48.1371,11.5734,Munich,DE,6,2448
48.8534,2.3488,Paris,FR,14,2420
32.7153,-117.1573,San Diego,US,1,2404
35.011608,135.767885,Kyoto,JP,6,2227
29.7602,-95.3694,Houston,US,4,2194
59.3326,18.0649,Stockholm,SE,2,1751
48.798916,9.065756,Gerlingen,DE,1,1524
47.6264,-122.3331,Redmond,US,1,1476
42.3479,-71.0645,Boston,US,5,1474
23.0212,113.7414,Dongguan,CN,2,1221
52.3740,4.8897,Amsterdam,NL,1,1033
44.9731,-93.2699,Minneapolis-Saint Paul,US,3,860
60.1692,24.9402,Helsinki,FI,2,739
49.568243,10.882804,Herzogenaurach,DE,1,613
40.7170,-74.0037,New York-Newark,US,3,610
34.9769,138.3831,Hamamatsu,JP,2,606
30.2937,120.1614,Hangzhou,CN,3,605
49.47699,8.445369,Ludwigshafen,DE,1,557
51.4408,5.4778,Eindhoven,NL,2,556
36.0986,120.3719,Qingdao,CN,2,538
47.472883,8.308095,Baden,CH,2,529
39.1047,-84.5188,Cincinnati,US,1,513
34.96482,136.62383,Yokkaichi,JP,2,493
51.494435,4.287212,Bergen Op Zoom ,NL,1,446
32.7254,-97.3209,Dallas-Fort Worth,US,3,426
23.1255,113.2574,Guangzhou,CN,2,425
47.5584,7.5733,Bâle,CH,2,420
31.997376,-102.077938,Midland,US,1,417
45.777186,3.087068,Clermont-Ferrand,FR,1,406
30.5833,114.2667,Wuhan,CN,1,395
41.8500,-87.6501,Chicago,US,2,351
52.3705,9.7332,Hanovre,DE,1,330
26.232962,50.038415,Dharhan,SA,1,321
22.2796,114.1887,Hong Kong,CN,1,318
41.0138,28.9497,Istanbul,TR,1,312
51.045871,7.019272,Leverkusen,DE,2,310
42.142373,-77.054778,Corning,US,1,308
48.766371,11.425704,Ingolstadt,DE,1,300
47.660797,9.479772,Friedrichshafen,DE,1,289
37.240889,127.177321,Yongin,KR,1,288
51.2217,6.7762,Düsseldorf,DE,1,283
49.013404,12.101659,Ratisbonne,DE,1,264
36.0172,129.3602,Pohang,KR,1,236
49.872712,8.651195,Darmstadt,DE,1,229
39.7909,-86.1477,Indianapolis,US,1,225
40.589256,-74.634191,Bridgewater,US,1,216
46.992845,6.931868,Neuchâtel,CH,1,214
52.433112,10.790451,Wolfsburg,DE,1,205
46.462548,6.841974,Vevey,CH,1,200
40.796699,-74.481526,Morristown,US,1,196
24.812586,120.967716,Hsinchu,CN,1,186
43.6195,-116.2123,Boise,US,1,184
35.017883,135.854547,Otsu,JP,1,182
34.689761,135.195261,Kobe,JP,1,180
39.5296,-119.8138,Reno,US,1,177
22.2769,113.5678,Zhuhai,CN,1,177
52.4066,-1.5122,Coventry,GB,1,175
36.7100,119.1019,Weifang,CN,1,173
45.5215,-122.6799,Portland,US,1,170
30.2700,-97.7400,Austin,US,1,158
50.888062,5.979512,Heerlen,NL,1,138
34.717623,137.851538,Iwata,JP,1,137
51.5085,-0.1257,Londres,GB,1,136
39.043327,-77.487324,Ashburn,US,1,135
42.3871,-83.1026,Detroit,US,1,131
56.162232,10.204073,Aarhus,DK,1,130
1.2897,103.8501,Singapour,SG,1,130
36.372782,-94.208786,Bentonville,US,1,129
38.5816,-121.4944,Sacramento,US,1,129
47.13947,9.518372,Liechtenstein,LI,1,124
31.2222,121.4581,Shanghai,CN,1,117
26.124444,-80.249444,Plantation,US,1,116
35.1815,136.9064,Nagoya,JP,1,114
34.2637,117.1866,Xuzhou,CN,1,114
38.860363,-77.224007,Fairfax,US,1,112
52.205298,0.121849,Cambridge,GB,1,111
55.9521,-3.1965,Edinburgh,GB,1,110
26.6617,119.5228,Ningde,CN,1,110
51.9225,4.4792,Rotterdam,NL,1,107
48.7823,9.1770,Stuttgart,DE,1,107
35.08253,137.156082,Toyota city,JP,1,107
34.225623,-77.944653,Wilmington,US,1,105
51.4537,7.0104,Essen,DE,1,104
48.689295,10.161076,Heidenheim an der Brenz,DE,1,104
39.9622,-83.0002,Columbus,US,1,103
37.4386,127.1378,Seongnam,KR,1,103
57.7032,11.9663,Göteborg,SE,1,102
51.671072,8.340639,Lippstadt,DE,1,102
59.194411,17.625745,Södertälje,SE,1,102
